X,Y,Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions,Lat.Long
-73.9588660250232,40.7982597947515,40A-AM-1010-03,40A,AM,10102018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,bottom of great hill,false,false,false,true,true,,false,false,false,true,false,false,true,true,dog chased,POINT (-73.9588660250232 40.7982597947515)
-73.9792155473689,40.7693711799946,3B-PM-1007-11,03B,PM,10072018,11,Adult,Gray,,Gray+,,Above Ground,5,in tree,false,false,true,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9792155473689 40.7693711799946)
-73.9664711607022,40.787896428768,26A-PM-1006-06,26A,PM,10062018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Tree 90th left 90th & 89,false,false,true,false,false,,false,false,false,true,false,false,false,false,studying us looking for food,POINT (-73.9664711607022 40.787896428768)
-73.9694168118643,40.7728877377977,11G-PM-1013-01,11G,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,5,In the Woods/Brush,false,false,true,false,true,,false,false,false,false,false,false,false,true,watching me,POINT (-73.9694168118643 40.7728877377977)
-73.9782417115139,40.7724665036447,7A-AM-1006-01,07A,AM,10062018,1,Adult,Gray,White,Gray+White,,Above Ground,10,in tree,false,false,false,false,true,,false,true,false,false,true,false,false,false,looked at us,POINT (-73.9782417115139 40.7724665036447)
-73.9564023626619,40.7905423546155,33G-AM-1013-02,33G,AM,10132018,2,Adult,Gray,,Gray+,,Above Ground,13,shelter in hole in tree,false,false,true,false,false,,false,false,false,false,false,false,true,true,,POINT (-73.9564023626619 40.7905423546155)
-73.9763430829342,40.7686351097159,4D-PM-1008-11,04D,PM,10082018,11,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,3,on tree facing downward,false,true,false,false,false,chased #12,true,false,false,true,false,false,false,true,,POINT (-73.9763430829342 40.7686351097159)
-73.9756015005821,40.7670090327736,2F-AM-1006-01,02F,AM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,walking along path,false,false,false,false,true,,false,false,false,false,true,false,true,false,,POINT (-73.97560150058212 40.7670090327736)
-73.9748706415584,40.7744174965072,10B-AM-1006-02,10B,AM,10062018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,High in a tree,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9748706415584 40.7744174965072)
-73.9735489537928,40.7681257911523,4G-AM-1006-02,04G,AM,10062018,2,,Gray,White,Gray+White,,Above Ground,12,tree,false,false,false,false,false,sitting in tree,false,false,false,false,false,false,true,false,,POINT (-73.9735489537928 40.7681257911523)
-73.965796978969,40.7760402842845,15H-PM-1008-03,15H,PM,10082018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,lawn moving east over Park path,false,false,false,false,false,not sure walk-pause-walk,false,false,false,false,false,false,true,false,,POINT (-73.96579697896901 40.7760402842845)
-73.9710760196868,40.7725506006789,10F-PM-1019-02,10F,PM,10192018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,Cinnamon head & stripe,Ground Plane,FALSE,"Behind fence, grass",true,false,false,false,false,,false,false,false,false,true,false,false,true,,POINT (-73.9710760196868 40.7725506006789)
-73.9711298491132,40.7676902603543,5I-PM-1008-01,05I,PM,10082018,1,Adult,Black,Cinnamon,Black+Cinnamon,,Above Ground,15,in tree by arsenal - climbing,false,false,true,true,false,,false,false,false,true,false,false,false,false,,POINT (-73.9711298491132 40.7676902603543)
-73.9754270368984,40.7702411502308,6D-PM-1020-01,06D,PM,10202018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,Baseball field,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9754270368984 40.7702411502308)
-73.9770273553525,40.7732399463626,8A-AM-1013-03,08A,AM,10132018,3,Juvenile,,,+,,Above Ground,3,fence,true,true,true,true,false,playing tag together,false,false,false,false,false,true,false,false,,POINT (-73.9770273553525 40.7732399463626)
-73.9737091707831,40.7713732567512,7E-AM-1006-03,07E,AM,10062018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,under a tree,false,false,false,true,false,,false,false,false,false,false,false,false,false,,POINT (-73.9737091707831 40.7713732567512)
-73.9520592496349,40.7975076299811,42G-PM-1014-03,42G,PM,10142018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,4,on fence,true,false,false,false,false,prancing,false,false,false,false,false,false,false,true,,POINT (-73.9520592496349 40.7975076299811)
-73.963842266151,40.7887340867773,28C-PM-1006-02,28C,PM,10062018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,Near rock,true,false,false,false,false,,false,false,false,false,false,false,false,true,dog,POINT (-73.963842266151 40.7887340867773)
-73.967895656898,40.7767409597341,15F-PM-1010-07,15F,PM,10102018,7,Adult,Gray,,Gray+,,Above Ground,3,on fence,true,false,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.967895656898 40.7767409597341)
-73.9590236602085,40.7982632456866,40A-AM-1010-04,40A,AM,10102018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,bottom great hill,false,false,false,false,true,,false,false,false,true,false,false,true,true,dog chased,POINT (-73.9590236602085 40.7982632456866)
-73.9589414339242,40.7907073888277,32E-PM-1017-04,32E,PM,10172018,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,treed area,false,false,false,true,true,,false,false,false,false,false,false,false,true,,POINT (-73.9589414339242 40.7907073888277)
-73.9751729403694,40.7743284123118,10B-PM-1014-02,10B,PM,10142018,2,Adult,Gray,White,Gray+White,,Above Ground,,gingko tree by traffic light in front of Strawberry Fields,false,false,false,false,true,,false,false,false,false,true,false,false,false,came over on tree to see me then disappeared,POINT (-73.9751729403694 40.7743284123118)
-73.9762246600197,40.775164077652,10A-AM-1006-03,10A,AM,10062018,3,Juvenile,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Bridle Path lawn,false,false,false,true,false,,false,false,false,false,false,false,false,false,,POINT (-73.9762246600197 40.775164077652)
-73.9800669115792,40.7676825134384,1B-AM-1012-07,01B,AM,10122018,7,Adult,Cinnamon,,Cinnamon+,,Above Ground,2,on tree trunk,false,true,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9800669115792 40.7676825134384)
-73.9773317054464,40.7684035996758,3D-AM-1006-03,03D,AM,10062018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,on top [of] a big rock/boulder in the area,true,false,true,false,false,climbing (rock),false,false,false,false,false,true,false,false,"approaches (slightly),wary of humans",POINT (-73.9773317054464 40.76840359967581)
-73.9534333425633,40.7932564163328,37H-AM-1018-03,37H,AM,10182018,3,Adult,Gray,White,Gray+White,,Above Ground,10,in a tree with red berries,false,false,false,true,false,,false,true,false,false,false,false,false,true,,POINT (-73.9534333425633 40.7932564163328)
-73.978436117932,40.7724769242403,6A-AM-1006-06,06A,AM,10062018,6,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,15,tree,false,false,true,false,false,,true,false,false,false,false,false,false,false,,POINT (-73.978436117932 40.7724769242403)
-73.9552861155228,40.788973931872,32I-AM-1013-05,32I,AM,10132018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,3,In and below shrub,false,false,true,false,true,,false,false,false,true,false,false,true,false,,POINT (-73.9552861155228 40.788973931872)
-73.9712876234172,40.7695885530701,7H-PM-1006-02,07H,PM,10062018,2,Adult,Gray,,Gray+,,Above Ground,25,tree,true,false,true,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.9712876234172 40.7695885530701)
-73.9550082056509,40.7894521543449,33I-AM-1008-03,33I,AM,10082018,3,Adult,Gray,,Gray+,,Above Ground,2,98th @ edge of park,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9550082056509 40.7894521543449)
-73.9674069524601,40.7772529662424,16F-PM-1013-02,16F,PM,10132018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Woods,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9674069524601 40.7772529662424)
-73.9586214081667,40.7937473968735,35D-PM-1013-03,35D,PM,10132018,3,Juvenile,Gray,White,Gray+White,No Tail!,Above Ground,2,bench,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9586214081667 40.7937473968735)
-73.9528149779809,40.7924984810637,36I-AM-1017-06,36I,AM,10172018,6,Adult,Gray,Black,Gray+Black,Darker than others,Above Ground,10,Running down tree,true,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9528149779809 40.7924984810637)
-73.9646610347972,40.7790583544252,19H-AM-1010-05,19H,AM,10102018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,near a brush,false,false,false,true,true,,false,false,false,false,false,false,false,true,,POINT (-73.9646610347972 40.7790583544252)
-73.95448101115,40.7954469678857,39F-PM-1006-03,39F,PM,10062018,3,Adult,Gray,White,Gray+White,,Above Ground,15,lower branch of tree,false,false,false,true,false,,false,false,false,false,false,false,false,true,ran up tree when approached,POINT (-73.95448101115 40.7954469678857)
-73.9705123624953,40.7731723757869,10F-PM-1019-11,10F,PM,10192018,11,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Grassy area,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9705123624953 40.7731723757869)
-73.9667560049684,40.7882333830729,27A-PM-1006-01,27A,PM,10062018,1,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on a tree,false,false,false,true,true,walking up & down branches,false,false,false,false,false,false,true,false,,POINT (-73.9667560049684 40.7882333830729)
-73.9782351435852,40.7715896672335,6A-AM-1006-03,06A,AM,10062018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,30,tree,false,true,false,true,false,,false,false,false,true,true,false,false,false,,POINT (-73.9782351435852 40.7715896672335)
-73.9583101927652,40.7852649316039,27I-PM-1020-05,27I,PM,10202018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,In tree,true,false,false,false,false,,false,false,false,false,false,false,false,true,runs from (us),POINT (-73.9583101927652 40.7852649316039)
-73.9759432151552,40.7733240612552,8B-PM-1012-06,08B,PM,10122018,6,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,2,on a bench,false,false,false,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.9759432151552 40.7733240612552)
-73.9781303869038,40.7725000348875,7A-AM-1006-02,07A,AM,10062018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,8,in tree,false,false,true,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9781303869038 40.7725000348875)
-73.9757001944781,40.769499790547,5E-AM-1008-09,05E,AM,10082018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,2,went up tree,true,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9757001944781 40.769499790547)
-73.9735946835545,40.7724155751282,8E-PM-1008-01,08E,PM,10082018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,by tree trunk base,false,false,false,true,false,,false,false,false,false,false,true,false,false,eating food being thrown at it by a mom & baby,POINT (-73.9735946835545 40.7724155751282)
-73.979316275899,40.7692134727555,3B-PM-1007-01,03B,PM,10072018,1,Adult,Gray,White,Gray+White,,Above Ground,,in tree,false,false,false,false,false,chased by dog,false,false,false,false,false,false,false,false,,POINT (-73.979316275899 40.7692134727555)
-73.9719888241794,40.7667681685356,4I-PM-1007-03,04I,PM,10072018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,3,ran to tree,false,false,false,false,false,being chased,false,false,false,false,false,false,false,false,,POINT (-73.9719888241794 40.7667681685356)
-73.9669206605745,40.7748155701122,13H-PM-1010-03,13H,PM,10102018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,in glen,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9669206605745 40.7748155701122)
-73.9590502257662,40.794290363687,36C-PM-1013-06,36C,PM,10132018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,Running across wide street,true,false,false,false,true,carrying food in mouth,false,false,false,false,false,false,false,false,,POINT (-73.9590502257662 40.794290363687)
-73.9702788578386,40.7694484997295,7I-PM-1013-05,07I,PM,10132018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Rock,false,false,false,true,false,,false,false,false,true,false,false,false,false,,POINT (-73.9702788578386 40.7694484997295)
-73.9741944367138,40.7769889953596,13B-PM-1008-01,13B,PM,10082018,1,Adult,Gray,White,Gray+White,,Above Ground,2,on railing,true,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9741944367138 40.7769889953596)
-73.96362827608,40.7807994595242,21G-AM-1014-02,21G,AM,10142018,2,Adult,Gray,White,Gray+White,,Above Ground,3,fence,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.96362827608 40.7807994595242)
-73.9757436019432,40.7746064363227,10B-PM-1014-01,10B,PM,10142018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,on lawn in front of a tree,false,false,false,false,true,,false,false,false,false,true,false,false,false,stay on ground but went to other side of tree to hide from a dog,POINT (-73.9757436019432 40.7746064363227)
-73.9558474701153,40.7913335515534,34H-AM-1007-01,34H,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,40,tree,false,false,false,false,false,,true,true,false,false,false,false,false,false,,POINT (-73.9558474701153 40.7913335515534)
-73.9734695768004,40.7716297491384,8E-PM-1008-05,08E,PM,10082018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,"5, 6, 7 all at same tree trunk base",false,false,false,true,true,,false,false,false,false,false,false,false,false,,POINT (-73.9734695768004 40.7716297491384)
-73.9793952066038,40.7707837657859,4A-PM-1007-03,04A,PM,10072018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,by rock,false,false,false,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.9793952066038 40.77078376578591)
-73.9642717435966,40.782087049693,22F-AM-1007-05,22F,AM,10072018,5,Adult,Gray,White,Gray+White,,Above Ground,10,tree,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9642717435966 40.782087049693)
-73.9742973420446,40.7691801644292,5F-AM-1007-04,05F,AM,10072018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,rocks,false,false,false,true,true,,false,false,false,false,false,false,false,false,,POINT (-73.9742973420446 40.7691801644292)
-73.959514034869,40.789911786416,31E-PM-1006-02,31E,PM,10062018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,under bushes,false,false,false,true,true,,false,true,false,false,false,false,true,false,,POINT (-73.959514034869 40.789911786416)
-73.9624546917649,40.7888234959792,29D-AM-1014-04,29D,AM,10142018,4,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,Rock a,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9624546917649 40.78882349597921)
-73.9549135206961,40.798525897229,42D-PM-1013-03,42D,PM,10132018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,25,in tree,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9549135206961 40.798525897229)
-73.9661785940531,40.7742569936186,13I-PM-1008-01,13I,PM,10082018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,5,climbed tree,true,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9661785940531 40.7742569936186)
-73.9690968160819,40.769923269444,8I-AM-1006-08,08I,AM,10062018,8,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,6,tree,false,false,false,false,false,,true,true,false,false,false,false,false,false,not backing down,POINT (-73.9690968160819 40.769923269444)
-73.9666521094255,40.7842753517648,23C-PM-1014-02,23C,PM,10142018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,"in bushes, then ran across path",true,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9666521094255 40.7842753517648)
-73.9548430741605,40.798207350942,41E-AM-1007-06,41E,AM,10072018,6,Adult,Gray,,Gray+,,Above Ground,30,tree,false,false,true,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9548430741605 40.798207350942)
-73.9602166876979,40.7953811003986,36B-AM-1013-04,36B,AM,10132018,4,,Black,,Black+,,Above Ground,20,Moved 20+ feet high above top of tree limb,false,true,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9602166876979 40.7953811003986)
-73.9669432929573,40.779136518298,18F-AM-1014-01,18F,AM,10142018,1,Adult,Gray,White,Gray+White,,Above Ground,,Low tree,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9669432929573 40.779136518298)
-73.9533476020736,40.7933003544685,37H-PM-1006-02,37H,PM,10062018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,tree,true,false,true,false,true,,true,false,false,false,false,false,false,true,dogs,POINT (-73.9533476020736 40.7933003544685)
-73.9677387336667,40.7742695912,12H-PM-1007-02,12H,PM,10072018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,in tree,false,false,true,true,false,peanuts,false,false,false,false,false,false,true,false,,POINT (-73.9677387336667 40.7742695912)
-73.9586098170241,40.7939653733898,35D-AM-1019-01,35D,AM,10192018,1,,,,+,,Above Ground,,"on tree, blue jays gathering nearby",false,false,false,false,false,,true,false,false,false,false,false,false,false,,POINT (-73.9586098170241 40.7939653733898)
-73.9687847410656,40.778185700305,16E-AM-1014-09,16E,AM,10142018,9,Adult,Gray,,Gray+,,Above Ground,25,In tree,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9687847410656 40.778185700305)
-73.9749446629706,40.7720659696067,7D-PM-1010-01,07D,PM,10102018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,outside fenced hectare,true,false,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9749446629706 40.7720659696067)
-73.9773821135611,40.7690453494383,4C-PM-1010-06,04C,PM,10102018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,behind playground benches,false,false,false,true,false,,false,false,false,false,true,false,false,true,,POINT (-73.9773821135611 40.7690453494383)
-73.9647284206644,40.7839611840884,23E-PM-1006-01,23E,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on a tree,true,false,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9647284206644 40.7839611840884)
-73.9713487591577,40.7784353043714,15C-PM-1017-03,15C,PM,10172018,3,Adult,Black,,Black+,,Above Ground,17,running across overpass,true,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9713487591577 40.7784353043714)
-73.9559677963727,40.7951124076946,38E-AM-1010-07,38E,AM,10102018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,1,branches,true,true,false,false,false,chasing and being chased by #6,false,false,false,false,true,false,false,true,,POINT (-73.9559677963727 40.7951124076946)
-73.9615402629655,40.7924082330328,33C-AM-1012-02,33C,AM,10122018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Cinnamon along back & tail,Above Ground,20,tree branches,false,true,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9615402629655 40.7924082330328)
-73.9709040623777,40.7701163892686,7H-PM-1006-03,07H,PM,10062018,3,Adult,Gray,,Gray+,,Above Ground,8,tree,true,false,true,false,false,,false,false,false,true,false,false,true,false,,POINT (-73.9709040623777 40.7701163892686)
-73.9745227769788,40.7673618284782,3F-AM-1006-09,03F,AM,10062018,9,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,in grass by light post,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9745227769788 40.76736182847821)
-73.9677779408464,40.7867482211349,25A-AM-1013-02,25A,AM,10132018,2,,Gray,,Gray+,,Above Ground,15,BIG TREE,false,true,false,false,false,chasing #3,false,false,false,true,false,false,true,false,,POINT (-73.9677779408464 40.7867482211349)
-73.9742804552383,40.7707167671865,7E-PM-1013-05,07E,PM,10132018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,On rocks,false,false,false,true,true,,false,false,false,false,true,false,true,false,,POINT (-73.9742804552383 40.7707167671865)
-73.9769319450348,40.7743883576247,9A-AM-1013-11,09A,AM,10132018,11,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,foot of tree,true,true,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9769319450348 40.7743883576247)
-73.9685751595485,40.7709413567859,9I-PM-1010-07,09I,PM,10102018,7,Adult,Gray,White,Gray+White,,Above Ground,1,ran up tree,true,false,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9685751595485 40.7709413567859)
